54304503	DSNY	Graffiti	The City has removed the graffiti from this property.	2022-05-28T14:30:51.000	2033-03-01T00:00:00.000
70421564	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:35:32.000	2026-09-16T01:49:38.000
70425258	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T01:36:27.000	2026-09-16T01:49:38.000
70429737	NYPD	Noise - Street/Sidewalk	The Police Department reviewed your complaint and provided additional information below.	2026-09-15T20:04:12.000	2026-09-16T01:49:38.000
70431315	NYPD	Noise - Street/Sidewalk	The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T01:38:33.000	2026-09-16T01:46:35.000
70420659	NYPD	Noise - Vehicle	The Police Department reviewed your complaint and provided additional information below.	2026-09-15T20:21:42.000	2026-09-16T01:46:07.000
70420746	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and observed no criminal violation upon their arrival. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T16:18:10.000	2026-09-16T01:45:59.000
70425366	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T18:24:48.000	2026-09-16T01:45:46.000
70428363	NYPD	Blocked Driveway	The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:08:30.000	2026-09-16T01:45:34.000
70420748	NYPD	Noise - Street/Sidewalk	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T20:16:24.000	2026-09-16T01:45:15.000
70426633	DHS	Homeless Person Assistance	The mobile outreach response team went to the location provided but could not find the individual that you reported.	2026-09-15T19:29:22.000	2026-09-16T01:42:42.000
70427532	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:11:13.000	2026-09-16T01:42:15.000
70420742	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and observed no criminal violation upon their arrival. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T17:10:25.000	2026-09-16T01:41:55.000
70428993	NYPD	Noise - Commercial	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T23:06:35.000	2026-09-16T01:41:50.000
70428482	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T19:14:29.000	2026-09-16T01:40:40.000
70420543	DHS	Homeless Person Assistance	The mobile outreach response team went to the location provided but could not find the individual that you reported.	2026-09-15T21:52:06.000	2026-09-16T01:39:41.000
70430625	NYPD	Traffic	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T22:48:00.000	2026-09-16T01:38:49.000
70430611	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and their investigation determined that police action was not necessary. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:06:35.000	2026-09-16T01:35:49.000
70430654	NYPD	Noise - Street/Sidewalk	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:07:02.000	2026-09-16T01:35:31.000
69839142	DOHMH	Smoking or Vaping	The NYC Health Department has responded to your service request. For inspection results, please call (212) 676-1600 or email infobfscs@health.nyc.gov to request an inspection report. This service request has been closed.	2026-07-25T08:08:56.000	2026-09-16T01:35:27.000
69836515	DOHMH	Smoking or Vaping	The NYC Health Department has responded to your service request. For inspection results, please call (212) 676-1600 or email infobfscs@health.nyc.gov to request an inspection report. This service request has been closed.	2026-07-24T04:33:06.000	2026-09-16T01:35:26.000
69750996	DOHMH	Smoking or Vaping	The NYC Health Department has responded to your service request. For inspection results, please call (212) 676-1600 or email infobfscs@health.nyc.gov to request an inspection report. This service request has been closed.	2026-07-18T01:11:48.000	2026-09-16T01:35:22.000
70423208	NYPD	Encampment	The New York City Police Department responded to the complaint and observed no encampment at the noted location. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:38:37.000	2026-09-16T01:35:06.000
70420052	NYPD	Noise - Street/Sidewalk	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:32:37.000	2026-09-16T01:35:04.000
70420188	NYPD	Encampment	The New York City Police Department responded to the complaint and observed no encampment at the noted location. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T01:05:41.000	2026-09-16T01:34:54.000
70427563	NYPD	Noise - Vehicle	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T23:54:26.000	2026-09-16T01:34:36.000
70420051	NYPD	Noise - Vehicle	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:34:01.000	2026-09-16T01:34:36.000
70426098	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T23:44:21.000	2026-09-16T01:34:06.000
70424581	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:58:44.000	2026-09-16T01:33:52.000
70429103	NYPD	Drinking	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:09:14.000	2026-09-16T01:33:38.000
70429742	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T01:11:31.000	2026-09-16T01:33:25.000
70428371	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and observed no criminal violation upon their arrival. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T23:58:28.000	2026-09-16T01:33:25.000
70419927	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T21:39:57.000	2026-09-16T01:33:25.000
70422411	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and their investigation determined that police action was not necessary. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T01:12:12.000	2026-09-16T01:33:25.000
70423063	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:23:08.000	2026-09-16T01:33:25.000
70426082	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T21:45:02.000	2026-09-16T01:30:28.000
70431492	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T23:14:41.000	2026-09-16T01:30:24.000
70428367	NYPD	Blocked Driveway	The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T22:34:50.000	2026-09-16T01:30:23.000
70423757	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T01:00:39.000	2026-09-16T01:30:23.000
70426627	DHS	Homeless Person Assistance	The mobile outreach response team went to the location provided but could not find the individual that you reported.	2026-09-15T23:18:16.000	2026-09-16T01:27:39.000
70423623	DHS	Homeless Person Assistance	The mobile outreach response team went to the location provided but could not find the individual that you reported.	2026-09-15T21:49:34.000	2026-09-16T01:27:39.000
70422190	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T22:07:07.000	2026-09-16T01:27:22.000
70431364	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:57:48.000	2026-09-16T01:27:06.000
70422950	NYPD	Noise - Commercial	The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T23:49:08.000	2026-09-16T01:26:54.000
70430757	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T01:00:53.000	2026-09-16T01:26:25.000
70420700	NYPD	Blocked Driveway	The New York City Police Department responded to the complaint and observed no criminal violation upon their arrival. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T18:37:20.000	2026-09-16T01:26:24.000
70423616	DHS	Homeless Person Assistance	The mobile outreach response team went to the location provided but could not find the individual that you reported.	2026-09-15T18:07:06.000	2026-09-16T01:24:40.000
70431192	DHS	Homeless Person Assistance	The individual accepted assistance from the mobile outreach response team.	2026-09-15T21:38:54.000	2026-09-16T01:24:39.000
70426625	DHS	Homeless Person Assistance	The mobile outreach response team offered services to the individual, but the individual did not accept assistance.	2026-09-16T00:53:02.000	2026-09-16T01:24:38.000
70423627	DHS	Homeless Person Assistance	The mobile outreach response team went to the location provided but could not find the individual that you reported.	2026-09-15T19:59:20.000	2026-09-16T01:24:38.000
70430520	NYPD	Noise - Commercial	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T22:50:02.000	2026-09-16T01:23:30.000
70421456	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:34:31.000	2026-09-16T01:23:30.000
70429056	NYPD	Noise - Street/Sidewalk	The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police made an arrest in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:24:12.000	2026-09-16T01:23:24.000
70429794	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T01:02:56.000	2026-09-16T01:23:24.000
70428448	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:53:33.000	2026-09-16T01:23:24.000
70430619	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and observed no criminal violation upon their arrival. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T22:40:19.000	2026-09-16T01:23:24.000
70423952	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T22:50:14.000	2026-09-16T01:23:23.000
70422187	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T22:59:46.000	2026-09-16T01:23:20.000
70431284	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T22:59:18.000	2026-09-16T01:23:19.000
70430521	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and observed no criminal violation upon their arrival. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T23:02:05.000	2026-09-16T01:23:19.000
70425143	DHS	Homeless Person Assistance	The mobile outreach response team offered services to the individual, but the individual did not accept assistance.	2026-09-16T00:31:07.000	2026-09-16T01:21:40.000
70428234	NYPD	Noise - Street/Sidewalk	The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T01:07:41.000	2026-09-16T01:20:17.000
70429743	NYPD	Noise - Street/Sidewalk	The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:55:59.000	2026-09-16T01:19:51.000
70422274	NYPD	Noise - Residential	The New York City Police Department responded to the complaint but officers were unable to gain entry into the premises. If the problem persists, please contact 311 to create another complaint and ensure that contact information (e.g., buzzer number, phone number, etc.) is available to assist the responding officers in gaining entry to properly investigate the complaint.  We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:06:18.000	2026-09-16T01:19:40.000
70425971	NYPD	Blocked Driveway	The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:26:42.000	2026-09-16T01:19:39.000
70429916	NYPD	Encampment	The New York City Police Department responded to the complaint and observed no encampment at the noted location. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:18:46.000	2026-09-16T01:19:38.000
70424451	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T23:13:39.000	2026-09-16T01:19:38.000
70420851	NYPD	Encampment	Your complaint has been received but does not fall under the jurisdiction of the New York City Police Department.  Please contact your local precinct for more information, including which City agency your request was referred to. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:49:58.000	2026-09-16T01:19:38.000
70423728	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T23:54:20.000	2026-09-16T01:19:38.000
70431411	NYPD	Blocked Driveway	The New York City Police Department responded to the complaint and observed no criminal violation upon their arrival. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T23:52:20.000	2026-09-16T01:19:37.000
70429070	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and their investigation determined that police action was not necessary. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T22:46:33.000	2026-09-16T01:19:37.000
70428438	NYPD	Noise - Commercial	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T22:58:37.000	2026-09-16T01:16:38.000
70423037	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T22:42:46.000	2026-09-16T01:16:33.000
